,date_time,city,state,country,shape,duration_seconds,latitude_deg,longitude_deg,date,time,year,zip_code
1240,10/12/10 6:07,Sioux Falls,SD,US,light,600,43.55,-96.7,10/12/10,6:07,10,57103
1241,10/12/10 10:00,Milpitas,CA,US,other,300,37.4283333,-121.9055556,10/12/10,10:00,10,95035
1242,10/12/10 10:00,Milpitas,CA,US,other,300,37.4283333,-121.9055556,10/12/10,10:00,10,95035
1243,10/12/10 12:30,Waco,TX,US,oval,300,31.5491667,-97.1463889,10/12/10,12:30,10,76701
1244,10/12/10 14:00,Littleton,CO,US,triangle,0,39.6133333,-105.0161111,10/12/10,14:00,10,80120
1245,10/12/10 16:00,Hillsdale,MI,US,circle,120,41.92,-84.6305556,10/12/10,16:00,10,49242
1246,10/12/10 19:00,Arlington,VA,US,sphere,45,38.8902778,-77.0844444,10/12/10,19:00,10,22201
1247,10/12/10 19:10,Dallas,TX,US,cigar,300,32.7833333,-96.8,10/12/10,19:10,10,75201
1248,10/12/10 19:13,Daphne,AL,US,chevron,45,30.6033333,-87.9036111,10/12/10,19:13,10,36526
1249,10/12/10 20:15,Bridgeton,MO,US,rectangle,120,38.7669444,-90.4113889,10/12/10,20:15,10,63044
1250,10/12/10 20:30,Boston,MA,US,disk,300,42.3583333,-71.0602778,10/12/10,20:30,10,02108
1251,10/12/10 21:00,Lufkin,TX,US,chevron,30,31.3380556,-94.7288889,10/12/10,21:00,10,75901
1252,10/12/10 22:15,Pinellas Park,FL,US,circle,1800,27.8425,-82.6997222,10/12/10,22:15,10,33781
1254,10/12/10 22:30,Waterloo,IA,US,light,180,42.4927778,-92.3427778,10/12/10,22:30,10,50701
1255,10/12/10 22:45,Knoxville,TN,US,light,240,35.9605556,-83.9208333,10/12/10,22:45,10,37902
1256,10/12/11 17:11,Waco,TX,US,changing,900,31.5491667,-97.1463889,10/12/11,17:11,11,76701
1257,10/12/11 19:00,Seaford,DE,US,fireball,0,38.6411111,-75.6113889,10/12/11,19:00,11,19973
1258,10/12/11 19:40,Whitesburg,TN,US,circle,30,36.2716667,-83.14,10/12/11,19:40,11,37891
1259,10/12/11 20:00,Ocean Isle Beach,NC,US,light,1200,33.8941667,-78.4269444,10/12/11,20:00,11,28469
1260,10/12/11 20:00,St. George,UT,US,disk,7,37.1041667,-113.5833333,10/12/11,20:00,11,84770
1261,10/12/11 20:07,Charleston,SC,US,unknown,30,32.7763889,-79.9311111,10/12/11,20:07,11,29401
1262,10/12/11 21:00,San Antonio,TX,US,triangle,900,29.4238889,-98.4933333,10/12/11,21:00,11,78205
1263,10/12/11 21:00,Zortman,MT,US,light,1800,47.9177778,-108.5255556,10/12/11,21:00,11,59546
1264,10/12/12 0:00,Titusville,FL,US,fireball,30,28.6119444,-80.8077778,10/12/12,0:00,12,32796
1265,10/12/12 4:10,Chicago,IL,US,unknown,7200,41.85,-87.65,10/12/12,4:10,12,60608
1266,10/12/12 6:30,Pittsburgh,PA,US,rectangle,3,40.4405556,-79.9961111,10/12/12,6:30,12,15219
1267,10/12/12 8:25,Bessemer,PA,US,circle,300,40.9747222,-80.4938889,10/12/12,8:25,12,16112
1268,10/12/12 14:30,Big Rock,TN,US,sphere,1200,36.5805556,-87.76,10/12/12,14:30,12,37023
1269,10/12/12 15:00,Clarksville,TN,US,circle,120,36.5297222,-87.3594444,10/12/12,15:00,12,37040
1270,10/12/12 17:00,Ashland,OR,US,cylinder,40,42.1947222,-122.7083333,10/12/12,17:00,12,97520
1271,10/12/12 17:45,Waynesburg (North Of),PA,US,light,60,39.8963889,-80.1794444,10/12/12,17:45,12,15370
1272,10/12/12 18:00,Salem,OR,US,oval,600,44.9430556,-123.0338889,10/12/12,18:00,12,97301
1273,10/12/12 18:55,Phoenix,AZ,US,other,300,33.4483333,-112.0733333,10/12/12,18:55,12,85004
1274,10/12/12 19:00,Buckeye,AZ,US,light,3600,33.3702778,-112.5830556,10/12/12,19:00,12,85326
1275,10/12/12 19:00,Glendale,AZ,US,,45,33.5386111,-112.1852778,10/12/12,19:00,12,85301
1276,10/12/12 19:00,Lake Worth,FL,US,chevron,60,26.6155556,-80.0572222,10/12/12,19:00,12,33460
1277,10/12/12 19:00,Lake Worth,FL,US,cylinder,60,26.6155556,-80.0572222,10/12/12,19:00,12,33460
1278,10/12/12 19:00,Shapleigh,ME,US,changing,300,43.5405556,-70.8486111,10/12/12,19:00,12,04076
1279,10/12/12 19:10,Hadlyme,CT,US,light,300,41.4202778,-72.4069444,10/12/12,19:10,12,06371
1280,10/12/12 19:30,Tucson,AZ,US,chevron,6,32.2216667,-110.9258333,10/12/12,19:30,12,85716
1281,10/12/12 20:00,Cumberland,MD,US,light,10,39.6527778,-78.7627778,10/12/12,20:00,12,21502
1283,10/12/12 20:00,Waukesha,WI,US,circle,900,43.0116667,-88.2313889,10/12/12,20:00,12,53186
1284,10/12/12 20:28,Bellevue,KY,US,,120,39.1063889,-84.4788889,10/12/12,20:28,12,41073
1285,10/12/12 20:30,Oklahoma City,OK,US,sphere,300,35.4675,-97.5161111,10/12/12,20:30,12,73102
1286,10/12/12 20:30,Wellington,FL,US,fireball,600,26.6583333,-80.2416667,10/12/12,20:30,12,33414
1287,10/12/12 20:45,Grayling,MI,US,light,600,44.6613889,-84.7147222,10/12/12,20:45,12,49738
1288,10/12/12 21:05,Anchorage,AK,US,fireball,10,61.2180556,-149.9002778,10/12/12,21:05,12,99501
1290,10/12/12 21:45,Cabin Creek,WV,US,unknown,40,38.1958333,-81.4777778,10/12/12,21:45,12,25067
1291,10/12/12 22:00,Marlton,NJ,US,circle,1800,39.8911111,-74.9222222,10/12/12,22:00,12,08053
1292,10/12/12 22:00,Ridley Park,PA,US,light,15,39.8811111,-75.3241667,10/12/12,22:00,12,19078
1294,10/12/12 23:15,Wolcott,CT,US,circle,300,41.6022222,-72.9872222,10/12/12,23:15,12,06716
1295,10/12/13 3:08,Austin,TX,US,unknown,17,30.2669444,-97.7427778,10/12/13,3:08,13,78701
1296,10/12/13 4:30,Cambridge,NY,US,light,7200,43.0280556,-73.3816667,10/12/13,4:30,13,12816
1297,10/12/13 7:17,Strongsville,OH,US,triangle,300,41.3144444,-81.8358333,10/12/13,7:17,13,44149
1298,10/12/13 7:45,Festus,MO,US,fireball,60,38.2205556,-90.3958333,10/12/13,7:45,13,63028
1299,10/12/13 13:00,Owego,NY,US,disk,120,42.1033333,-76.2625,10/12/13,13:00,13,13827
1300,10/12/13 14:35,Kodiak,AK,US,other,300,57.79,-152.4072222,10/12/13,14:35,13,99615
1301,10/12/13 15:00,St. Louis,MO,US,formation,900,38.6272222,-90.1977778,10/12/13,15:00,13,63101
1302,10/12/13 18:30,Clarkston,MI,US,triangle,1800,42.7358333,-83.4188889,10/12/13,18:30,13,48346
